card_type,card_company,card_name,card_benefit_type,card_img,card_top_category,card_category,card_required,card_domestic,card_abroad,communication,shopping,culture,transportation,food,education,utilities,aviation,medical,others
신용,우리카드,썸(SUM) 페이 카드,할인형,https://api.card-gorilla.com:8080/storage/card/80/card_img/20162/80card.png,"간편결제, 쇼핑, 영화/문화","간편결제, 교통, 마트/편의점, 쇼핑, 영화/문화, 통신, 푸드, 해외",300000,0,10000,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.25
신용,NH농협카드,올바른 GIVE 카드,포인트형,https://api.card-gorilla.com:8080/storage/card/562/card_img/21267/562card.png,"기타, 온라인쇼핑, 기타","레저/스포츠, 모든가맹점, 병원/약국, 쇼핑, 영화/문화, 카페/디저트, 통신, 해외",0,23000,25000,0.1,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.2
신용,NH농협카드,올바른SAFE Platinum카드,포인트형,https://api.card-gorilla.com:8080/storage/card/1763/card_img/22350/1763card.png,"적립, 쇼핑, 금융","금융, 마트/편의점, 모든가맹점, 무실적, 쇼핑, 프리미엄",0,100000,100000,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
신용,하나카드,원스토어 1 하나카드,할인형,https://api.card-gorilla.com:8080/storage/card/2301/card_img/23131/2301card.png,"APP, 게임, 배달앱","레저/스포츠, 푸드",300000,12000,15000,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6
신용,우리카드,카드의정석 삼성디지털프라자,할인형,https://api.card-gorilla.com:8080/storage/card/594/card_img/21361/594card.png,"쇼핑, 영화, 카페","기타, 쇼핑, 영화/문화, 카페/디저트, 프리미엄",300000,20000,20000,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285
신용,우리카드,카카오뱅크 우리카드,할인형,https://api.card-gorilla.com:8080/storage/card/2455/card_img/28009/2455card.png,"기타, 카카오페이, ",간편결제,400000,12000,12000,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25
신용,롯데카드,캐롯손해보험 롯데카드,할인형,https://api.card-gorilla.com:8080/storage/card/2457/card_img/28042/2457card.png,"보험사, , ","금융, 기타",300000,20000,20000,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
신용,현대카드,코스트코 리워드 비즈니스 현대카드,포인트형,https://api.card-gorilla.com:8080/storage/card/791/card_img/21751/791card.png,"멤버십포인트, 멤버십포인트, 멤버십포인트","교통, 마트/편의점, 멤버십포인트, 쇼핑, 영화/문화, 카페/디저트",0,10000,10000,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444
신용,롯데카드,ALL MY DC,할인형,https://api.card-gorilla.com:8080/storage/card/203/card_img/20424/203card.png,"모든가맹점, 대중교통, 주유소","교통, 마트/편의점, 주유, 통신, 해외",500000,15000,18000,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
신용,롯데카드,ALL MY DRIVING,할인형,https://api.card-gorilla.com:8080/storage/card/206/card_img/20430/206card.png,"주유, 생활, 정비","교통, 마트/편의점, 자동차/하이패스, 주유",300000,15000,15000,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
신용,삼성카드,CJ ONE 삼성카드,포인트형,https://api.card-gorilla.com:8080/storage/card/788/card_img/28073/788card.png,"CJ ONE, CJ ONE, 테마파크","기타, 멤버십포인트, 영화/문화, 카페/디저트, 푸드",200000,8000,10000,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714
신용,롯데카드,Happy 디지털카드,포인트형,https://api.card-gorilla.com:8080/storage/card/2369/card_img/25141/2369card.png,"해피포인트, 생활, 모든가맹점","교육/육아, 교통, 기타, 마트/편의점, 멤버십포인트, 프리미엄",300000,0,0,0.0,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.5
신용,롯데카드,Jin Air - 롯데카드,할인형,https://api.card-gorilla.com:8080/storage/card/2016/card_img/21982/2016card.jpg,"항공권, 카페, ","여행/숙박, 카페/디저트, 해외",300000,5000,6000,0.0625,0.125,0.0625,0.125,0.1875,0.0625,0.0625,0.0625,0.0625,0.1875
신용,하나카드,LG전자 렌탈 플러스 하나카드,할인형,https://api.card-gorilla.com:8080/storage/card/1519/card_img/20214/1519card.png,"렌탈 , , ","공과금/렌탈, 기타",300000,0,15000,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.13043478260869565
신용,NH농협카드,NC다이노스카드,할인형,https://api.card-gorilla.com:8080/storage/card/161/card_img/20381/161card.png,"경기관람, 온라인쇼핑, 영화","기타, 레저/스포츠, 쇼핑, 영화/문화, 카페/디저트, 통신",300000,8000,10000,0.125,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.25
신용,NH농협카드,NH올원 Rental&바디프랜드카드,할인형,https://api.card-gorilla.com:8080/storage/card/2021/card_img/21977/2021card.png,"쇼핑, 테마파크, ","공과금/렌탈, 레저/스포츠",300000,12000,14000,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427
신용,신한카드,SOCAR 제휴 SOCAR 신한카드,할인형,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,"렌터카, 기차, 카페","교통, 기타, 마트/편의점, 여행/숙박, 카페/디저트",300000,0,13000,0.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285
신용,NH농협카드,T라이트카드,할인형,https://api.card-gorilla.com:8080/storage/card/191/card_img/20411/191card.png,"통신, 카페/디저트, 레저/스포츠","기타, 레저/스포츠, 영화/문화, 카페/디저트, 통신",400000,0,10000,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857
